strain,accession,originating_lab,submitting_lab,segment
A/Victoria/562/2003,EPI1447637,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/564/2000,EPI1919460,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/567/1999,EPI1886326,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/569/1999,EPI1886327,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/569/2000,EPI1923122,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/570/2000,EPI1923123,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/572/1999,EPI1886330,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/575/2007,EPI1445602,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/578/1999,EPI1886333,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/58/2016,EPI836669,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/584/2003,EPI1447639,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/585/1998,EPI1885219,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/585/1999,EPI1886334,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/586/1999,EPI1886335,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/588/1999,EPI1886337,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/590/2003,EPI1447641,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/591/1999,EPI1886338,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/593/1999,EPI1886339,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/596/1999,EPI1919462,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/599/1999,EPI1886340,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/6/2015,EPI652721,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/601/1999,EPI1886341,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/605/1998,EPI1885218,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/609/1999,EPI1886342,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/614/1999,EPI1886343,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/640/2013,EPI526751,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/648/2016,EPI869000,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/650/2010,EPI294345,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/653/2017,EPI1060375,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/657/2013,EPI526795,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/661/2015,EPI750876,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/662/2015,EPI750886,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/669/2016,EPI892774,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/673/2014,EPI2187173,Who Collaborating Centre For Reference And Research On Influenza,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/68/2015,EPI750780,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/7/2012,EPI434568,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/70/2012,EPI629983,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/700/2013,EPI566512,Royal Melbourne Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/703/2019,EPI1430441,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/708/2018,EPI1322558,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/710/2013,EPI566518,Royal Melbourne Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/714/2011,EPI357672,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/718/2018,EPI1322555,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/721/2011,EPI566472,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/723/2012,EPI394465,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/725/2011,EPI370051,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/73/2015,EPI750796,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/731/2018,EPI1322561,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/8/2010,EPI2120618,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/8/2015,EPI652718,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/802/2012,EPI379585,Austin Health,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/803/2011,EPI331507,Austin Health,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/810/2015,EPI652748,Austin Health,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/814/2015,EPI636304,Austin Health,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/84/2012,EPI394164,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/892/2011,EPI357687,Austin Health,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/893/2011,EPI370074,Austin Health,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/893/2012,EPI417312,Austin Health,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/9/1998,EPI1885249,Csl Ltd,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/901/2018,EPI1315810,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/908/2018,EPI1328400,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/918/2012,EPI417315,Austin Health,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/920/2012,EPI417318,Austin Health,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/944/2014,EPI2187193,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/949/2017,EPI1242941,Who Collaborating Centre For Reference And Research On Influenza,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/959/2008,EPI2041055,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/961/2008,EPI2041056,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Vienna/25/2007,EPI310244,?,Other Database Import,HA
A/Vienna/28/2006,EPI310247,?,Other Database Import,HA
A/Vietnam/1/2014,EPI629993,Pasteur Institute Of Ho Chi Minh ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Vietnam/117/2015,EPI730233,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/1249/2001,EPI607297,?,Other Database Import,HA
A/Vietnam/1293/2001,EPI606054,?,Other Database Import,HA
A/Vietnam/137/2015,EPI731085,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/13VH3-4/2013,EPI567910,?,Niigata University,HA
A/Vietnam/144/2015,EPI730241,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/155/2015,EPI752162,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/159/2015,EPI730281,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/16018/2016,EPI976512,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/16020/2016,EPI976520,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/16021/2016,EPI976528,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/167/2010,EPI316228,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/2/2014,EPI629996,Pasteur Institute Of Ho Chi Minh ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Vietnam/214/2008,EPI172440,?,Centers For Disease Control And Prevention,HA
A/Vietnam/225/2010,EPI340952,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/23/2007,EPI155912,?,Centers For Disease Control And Prevention,HA
A/Vietnam/3055/2013,EPI465939,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/3064/2013,EPI467250,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/312/2009,EPI241159,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/4/2014,EPI630002,Pasteur Institute Of Ho Chi Minh ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Vietnam/465/2013,EPI498489,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/476/2013,EPI498472,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/5/2014,EPI630005,Pasteur Institute Of Ho Chi Minh ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Vietnam/51/2012,EPI408588,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/521/2007,EPI168567,?,Centers For Disease Control And Prevention,HA
A/Vietnam/6/2014,EPI630008,Pasteur Institute Of Ho Chi Minh ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Vietnam/6018/2016,EPI976436,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/6021/2016,EPI976444,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/6028/2016,EPI976452,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/6029/2016,EPI976460,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/6032/2016,EPI976551,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/6037/2016,EPI976482,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/6038/2016,EPI976490,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/6046/2016,EPI976475,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/6145/2016,EPI976420,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/6179/2016,EPI976544,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/6181/2016,EPI976559,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/629/2014,EPI612287,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/63/2009,EPI241165,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/630/2014,EPI564758,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/695/2003,EPI395126,?,Other Database Import,HA
A/Vietnam/7/2014,EPI630011,Pasteur Institute Of Ho Chi Minh ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Vietnam/71/2007,EPI155904,?,Centers For Disease Control And Prevention,HA
A/Vietnam/720/2005,EPI158301,?,Centers For Disease Control And Prevention,HA
A/Vietnam/7654/2016,EPI976536,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/838/2010,EPI326332,"Pasteur Institute, Influenza Laboratory",Centers For Disease Control And Prevention,HA
A/Vietnam/86/2015,EPI730301,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/87/2015,EPI730309,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/936/2009,EPI243557,National Institute Of Hygiene And Epidemiology,Centers For Disease Control And Prevention,HA
A/Vietnam/ARI99/2003,EPI395130,?,Other Database Import,HA
A/Vietnam/BM766/2003,EPI395129,?,Other Database Import,HA
A/Vietnam/CD367H/2013,EPI508669,"Pasteur Institute, Influenza Laboratory",Centers For Disease Control And Prevention,HA
A/Vietnam/ELI140/2008,EPI395156,?,Other Database Import,HA
A/Vietnam/GHS798/2017,EPI1145967,"Pasteur Institute, Influenza Laboratory",Centers For Disease Control And Prevention,HA
